N_CTX,Triton [FP16],Triton [FP8],Flash-2
1024.000000,65.295317,60.132707,38.111167
2048.000000,67.069852,64.078727,51.753667
4096.000000,70.773784,68.753626,48.178660
8192.000000,73.767167,71.654444,48.941593
16384.000000,75.902931,72.825682,48.777625
