N_CTX,Triton [FP16],Triton [FP8],Flash-2
1024.000000,79.581085,76.658590,69.049355
2048.000000,76.051626,76.569139,66.758381
4096.000000,77.073875,78.136629,67.526688
8192.000000,78.698917,75.870304,68.093014
16384.000000,78.039233,78.898666,61.939345
