N_CTX,Triton [FP16],Triton [FP8]
1024.000000,22.863996,23.406030
2048.000000,24.997637,24.367775
4096.000000,25.840608,25.803968
8192.000000,27.139023,26.424065
16384.000000,26.957102,26.357579
