N_CTX,Triton [FP16],Triton [FP8]
1024.000000,25.504775,25.502132
2048.000000,26.226568,26.227847
4096.000000,27.187810,26.883872
8192.000000,26.957440,27.189188
16384.000000,27.233582,27.125995
