N_CTX,Triton [FP16],Triton [FP8]
1024.000000,84.778045,167.975502
2048.000000,95.633814,178.144785
4096.000000,89.123220,169.416751
8192.000000,90.014352,185.519735
16384.000000,98.023573,186.726926
