N_CTX,Triton [FP16],Triton [FP8]
1024.000000,71.720943,133.638865
2048.000000,87.342201,156.140467
4096.000000,86.212606,168.192189
8192.000000,95.535705,175.843682
16384.000000,97.210415,179.344850
