N_CTX,Triton [FP16],Triton [FP8]
1024.000000,33.401841,31.101247
2048.000000,40.662713,39.139825
4096.000000,44.002295,43.909012
8192.000000,48.566567,51.039784
16384.000000,52.732800,52.475860
